ID,Name,Filename_TZVP,Extension_TZVP,DBIDRef_TZVP,Conformers_TZVP,Extension_TZVP-Fine,DBIDRef_TZVP-Fine,Conformers_TZVP-Fine,CAS,MP,BP,Density,Mol. Wt.,rhoc,c1,c2,c3,c4,c5,c6,Tc
1,"1,1,1-Trichloroethane","1,1,1-trichloroethane",cosmo,1,1,cosmo,4,1,71-55-6,-30.4,74.1,1.339,133.404,NA,NA,NA,NA,NA,NA,NA,NA
2,"TMU [1,1,3,3-Tetramethylurea]","1,1,3,3-Tetramethylurea",cosmo,2,1,cosmo,5,1,632-22-4,-1.2,175.2,0.962,116.162,NA,NA,NA,NA,NA,NA,NA,NA
3,"1,1-Dichloroethane","1,1-dichloroethane",cosmo,1,1,cosmo,4,1,75-34-3,-97,57.3,1.168,98.959,NA,NA,NA,NA,NA,NA,NA,NA
4,"1,1-Dichloroethene",1-1-Dichloroethene,cosmo,2,1,cosmo,5,1,75-35-4,-122.6,31.6,1.175,96.943,NA,NA,NA,NA,NA,NA,NA,NA
5,"1,2-Diaminoethane",1-2-Diaminoethane,cosmo,2,5,cosmo,5,5,107-15-3,11.1,117,0.899,60.098,NA,NA,NA,NA,NA,NA,NA,NA
6,"1,2-Dichlorobenzene","1,2-dichlorobenzene",cosmo,1,1,cosmo,4,1,95-50-1,-17,180.5,1.3,147.002,NA,NA,NA,NA,NA,NA,NA,NA
7,"1,2-Dichloroethane","1,2-dichloroethane",cosmo,1,2,cosmo,4,2,107-06-2,-35.7,83.7,1.246,98.959,NA,NA,NA,NA,NA,NA,NA,NA
8,"Glyme [DME or 1,2-Dimethoxyethane]",1-2-Dimethoxyethane,cosmo,2,6,cosmo,5,6,110-71-4,-69,84.5,0.864,90.121,NA,NA,NA,NA,NA,NA,NA,NA
9,"Ethylene Glycol [1,2-Ethanediol]",glycol,cosmo,1,4,cosmo,4,4,107-21-1,-13,197.2,1.109,62.068,NA,NA,NA,NA,NA,NA,NA,NA
10,"Mesitylene [1,3,5-Trimethylbenzene]","1,3,5-trimethylbenzene",cosmo,1,1,,NA,,108-67-8,-44.7,164.7,0.861,120.192,NA,NA,NA,NA,NA,NA,NA,NA
11,p-Xylene,"1,4-dimethylbenzene",cosmo,1,1,cosmo,4,1,106-42-3,13.3,138.4,0.857,106.165,NA,NA,NA,NA,NA,NA,NA,NA
12,"1,4-Dioxane",dioxane,cosmo,1,1,cosmo,4,1,123-91-1,11.8,101.3,1.028,88.105,NA,NA,NA,NA,NA,NA,NA,NA
13,NMP [N-Methylpyrrolidone],NMP,cosmo,2,1,cosmo,5,1,872-50-4,-24.4,202,1.026,99.131,NA,NA,NA,NA,NA,NA,NA,NA
14,"2,4-Dimethyl-3-pentanone [Diisopropyl ketone]",2-4-Dimethyl-3-pentanone,cosmo,2,1,cosmo,5,1,565-80-0,-69,125.3,0.799,114.185,NA,NA,NA,NA,NA,NA,NA,NA
15,"2,6-Dimethyl-4-heptanone [Diisobutyl ketone]",2-6-Dimethyl-4-heptanone,cosmo,2,2,cosmo,5,2,108-83-8,-46,168.4,0.805,142.239,NA,NA,NA,NA,NA,NA,NA,NA
16,Ethanolamine [2-Aminoethanol],ethanolamine,cosmo,1,6,cosmo,4,6,141-43-5,10.5,170.4,1.018,61.083,NA,NA,NA,NA,NA,NA,NA,NA
17,Methyl Cellosolve [2-Methoxyethanol],2-methoxyethanol,cosmo,1,4,cosmo,4,4,109-86-4,-85.1,124.5,0.965,76.094,NA,NA,NA,NA,NA,NA,NA,NA
18,iso-Hexane [2-Methylpentane],2-methylpentane,cosmo,1,1,cosmo,4,1,107-83-5,-153.6,60.3,0.65,86.175,NA,NA,NA,NA,NA,NA,NA,NA
19,2-Methyltetrahydrofuran [2-MeTHF],MeTHF,cosmo,2,1,cosmo,5,1,96-47-9,-136,80,0.86,86.132,NA,NA,NA,NA,NA,NA,NA,NA
20,tert-Amyl Alcohol [2-Methylbutan-2-ol],2-Methylbutan-2-ol,cosmo,2,3,cosmo,5,3,75-85-4,-8.8,102.2,0.806,88.148,NA,NA,NA,NA,NA,NA,NA,NA
21,iso-Butanol [2-Methylpropan-1-ol],2-Methylpropan-1-ol,cosmo,2,3,cosmo,5,3,78-83-1,-108,107.8,0.794,74.122,NA,NA,NA,NA,NA,NA,NA,NA
22,tert-Butanol [2-Methylpropan-2-ol],tert-butanol,cosmo,1,1,cosmo,4,1,75-65-0,25.6,82.3,0.789,74.122,NA,NA,NA,NA,NA,NA,NA,NA
23,"3,3-Dimethyl-2-butanone [MTBK]",3-3-Dimethyl-2-butanone,cosmo,2,1,cosmo,5,1,75-97-8,-49.8,106.5,0.801,100.159,NA,NA,NA,NA,NA,NA,NA,NA
